	767	17.6	6.5	7.2	NP_61	283166	283368	-135617	+	NOMAD_LTR	LTR/Gypsy	188	518	0	149	202
	1697	5.3	0.5	0	NP_61	151764	151969	-267016	+	Chimpo_LTR	LTR/Gypsy	1	207	0	93	205
	1713	4.8	0.5	0	NP_61	155994	156199	-262786	+	Chimpo_LTR	LTR/Gypsy	1	207	0	93	205
	243	28.6	5.3	5.3	NP_61	248712	248918	-170067	+	ZAM_I	LTR/Gypsy	6955	7161	-329	130	206
	1844	1.9	0	0.5	NP_61	156200	156409	-262576	+	Gypsy-7_DSe-LTR	LTR/Gypsy	50	258	0	92	209
	514	28.1	1.9	0.9	NP_61	246813	247024	-171961	+	Gypsy-5_DSim-I	LTR/Gypsy	4130	4343	-2166	127	211
	1699	8.1	0	0	NP_61	282475	282696	-136289	+	GTWIN_I	LTR/Gypsy	424	645	-6845	146	221
	1052	13.6	11.7	4.2	NP_61	323703	323924	-95061	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	27	172	221
	1101	12.2	11.7	4.2	NP_61	344628	344849	-74136	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	27	184	221
	905	14.2	12.6	5.5	NP_61	353207	353429	-65556	C	R1_DM	Non-LTR_retrotransposon/R1	-5170	264	27	192	222
	1040	12.8	12.1	5.5	NP_61	364481	364704	-54281	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	27	201	223
	1056	12.5	10.2	4.2	NP_61	57363	57587	-361398	+	R1_DSi	Non-LTR_retrotransposon/R1	27	264	-5170	40	224
	1633	3.6	0.1	0.4	NP_61	10908	11133	-407852	+	Gypsy-13_DSim-LTR	LTR/Gypsy	1	221	-83	3	225
	433	23.4	16.8	0.9	NP_61	291748	291985	-127000	+	Gypsy-3_DSe-LTR	LTR/Gypsy	96	377	-2	152	237
	447	25.4	14.7	0.9	NP_61	282757	282995	-135990	+	Gypsy-3_DSe-LTR	LTR/Gypsy	100	377	-2	150	238
	1122	13.1	11.6	5.1	NP_61	59840	60080	-358905	+	R1_DSi	Non-LTR_retrotransposon/R1	9	264	-5170	43	240
	1110	13.6	11.6	5.1	NP_61	62065	62305	-356680	+	R1_DSi	Non-LTR_retrotransposon/R1	9	264	-5170	47	240
	1079	13.6	11.6	5.1	NP_61	72292	72532	-346453	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	9	51	240
	1057	13.1	11.6	5.1	NP_61	309157	309397	-109588	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	9	161	240
	1152	12.6	10.7	5.1	NP_61	33515	33757	-385228	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	9	19	242
	1082	12.6	10.7	5.5	NP_61	321372	321615	-97370	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	9	168	243
	1076	13.4	10.6	5.9	NP_61	328731	328975	-90010	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	9	178	244
	758	14.8	26	1	NP_61	269887	270132	-148853	+	GTWIN_I	LTR/Gypsy	1	307	-6200	146	245
	1175	12.2	13	0	NP_61	57601	57847	-361138	+	R1_DSe	Non-LTR_retrotransposon/R1	365	643	-4774	41	246
	1308	11.3	0.4	11.2	NP_61	120764	121011	-297974	C	DIVER_LTR	LTR/Pao	0	224	1	73	247
	1431	8.4	5.7	4	NP_61	352975	353222	-65763	C	R1_DSe	Non-LTR_retrotransposon/R1	-4779	638	387	195	247
	1664	4.8	0.6	0.7	NP_61	304623	304871	-114114	+	Gypsy-13_DSim-LTR	LTR/Gypsy	1	314	-457	155	248
	576	20.3	15.8	2	NP_61	418718	418966	-19	+	DNAREP1_DSim	RC/Helitron	125	555	-39	225	248
	2263	0.8	0.8	0	NP_61	104413	104663	-314322	+	Gypsy-2_DSe-LTR	LTR/Gypsy	1	253	0	69	250
	2320	0.4	0.4	0	NP_61	111059	111310	-307675	+	Gypsy-2_DSe-LTR	LTR/Gypsy	1	253	0	69	251
	2163	2.8	0	0.4	NP_61	31498	31751	-387234	C	Gypsy-8_DSe-LTR	LTR/Gypsy	0	288	36	17	253
	1312	14.7	5.8	0.7	NP_61	206628	206888	-212097	C	R1_DSe	Non-LTR_retrotransposon/R1	-4775	642	369	111	260
	1166	16.6	1.9	8.5	NP_61	368692	368954	-50031	+	Gypsy-3_DSe-I	LTR/Gypsy	1	247	-7126	205	262
	1986	4	2.3	4.7	NP_61	309430	309693	-109292	+	BLOOD_LTR	LTR/Gypsy	1	258	-141	163	263
	1262	8.9	0.6	6.8	NP_61	85241	85509	-333476	+	Gypsy-3_DSe-LTR	LTR/Gypsy	1	379	0	62	268
	1301	8.9	0.4	7	NP_61	92986	93254	-325731	+	Gypsy-3_DSe-LTR	LTR/Gypsy	1	379	0	62	268
	1292	8	1	7.3	NP_61	368290	368558	-50427	+	Gypsy-3_DSe-LTR	LTR/Gypsy	1	379	0	205	268
	1726	9.8	11.7	0	NP_61	35156	35429	-383556	C	R1_DM	Non-LTR_retrotransposon/R1	-4742	614	309	21	273
