409	23.6	15	0.7	NP_60	161	386	-428593	C	Gypsy-3_DSe-LTR	LTR/Gypsy	-2	377	114	1	225
1638	3.5	0	0	NP_60	155139	155341	-273638	+	Copia1-LTR_DM	LTR/Copia	1	203	0	87	202
1638	3.5	0	0	NP_60	159461	159663	-269316	+	Copia1-LTR_DM	LTR/Copia	1	203	0	87	202
743	28.2	0.1	0.5	NP_60	85987	86190	-342789	C	Gypsy2_I	LTR/Gypsy	-1124	5011	4835	42	203
743	28.2	0.1	0.5	NP_60	122467	122670	-306309	C	Gypsy2_I	LTR/Gypsy	-1124	5011	4835	66	203
594	26.2	1.9	4.4	NP_60	267604	267811	-161168	+	NOMAD_LTR	LTR/Gypsy	316	518	0	134	207
1574	3.4	0	0	NP_60	284423	284631	-144348	C	MDG1_I	LTR/Gypsy	-3125	3471	3263	147	208
1746	0.9	0.9	1.4	NP_60	315693	315908	-113071	+	ACCORD2_LTR	LTR/Gypsy	1	215	0	158	215
594	24	2.2	3.9	NP_60	259609	259829	-169150	+	NOMAD_LTR	LTR/Gypsy	188	518	0	134	220
955	11.8	12.2	4.6	NP_60	349210	349431	-79548	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	27	174	221
398	32	1.8	0.4	NP_60	25357	25582	-403397	+	Gypsy-10_DMoj-LTR	LTR/Gypsy	2246	2474	-552	15	225
410	31.6	1.8	0.4	NP_60	149076	149301	-279678	+	Gypsy-10_DMoj-LTR	LTR/Gypsy	2246	2474	-552	84	225
1644	2.6	11.4	0	NP_60	153413	153639	-275340	+	Gypsy-1_DSe-I	LTR/Gypsy	3816	4068	-2360	86	226
1404	9.7	2.2	0	NP_60	162472	162699	-266280	C	MDG1_I	LTR/Gypsy	-5544	1052	820	90	227
312	26.2	5.7	7	NP_60	122953	123182	-305797	+	ACCORD_I	LTR/Gypsy	1986	2163	-4125	67	229
1424	2.5	0	16.6	NP_60	336938	337171	-91808	C	DM412B_LTR	LTR/Gypsy	-371	200	1	166	233
355	24.1	8.9	6.6	NP_60	86473	86708	-342271	+	ACCORD_I	LTR/Gypsy	1986	2163	-4125	43	235
1005	11.5	23	1.2	NP_60	380734	380981	-47998	+	Gypsy8_I	LTR/Gypsy	3027	3328	-1019	189	247
925	19.2	2.6	2.4	NP_60	325408	325656	-103323	+	Gypsy-31_DEl-I	LTR/Gypsy	397	639	-6187	163	248
1204	9.6	0.4	12.9	NP_60	258518	258769	-170210	C	DIVER_LTR	LTR/Pao	0	224	1	132	251
1901	4.8	0.4	0	NP_60	312665	312916	-116063	+	Gypsy-13_DSim-I	LTR/Gypsy	4141	4393	-1051	153	251
988	19.6	2.8	5.3	NP_60	255791	256043	-172936	+	Gypsy-3_DSe-I	LTR/Gypsy	1	247	-7126	127	252
2110	1.6	0.4	0	NP_60	160346	160600	-268379	C	STALKER4_LTR	LTR/Gypsy	-146	256	1	88	254
1018	7.8	2.5	2.2	NP_60	293960	294221	-134758	+	MDG1_I	LTR/Gypsy	6213	6594	-2	152	261
715	27.9	0.8	0.4	NP_60	91442	91704	-337275	C	Gypsy5_I	LTR/Gypsy	-4093	2416	2153	48	262
664	16.8	3.7	4.6	NP_60	424029	424291	-4688	+	Gypsy-8_DSim-I	LTR/Gypsy	593	866	-5603	213	262
730	28.1	0.4	0.4	NP_60	127935	128198	-300781	C	Gypsy5_I	LTR/Gypsy	-4093	2416	2153	72	263
1252	16	4.2	0.7	NP_60	267999	268263	-160716	+	DM412B_LTR	LTR/Gypsy	161	434	-137	139	264
1233	8.1	0.4	7.3	NP_60	234875	235144	-193835	+	Gypsy-3_DSe-LTR	LTR/Gypsy	1	379	0	120	269
1070	9.4	4.9	0	NP_60	294222	294496	-134483	+	MDG1_LTR	LTR/Gypsy	36	241	-201	153	274
2146	2.9	0	0.4	NP_60	232057	232333	-196646	+	Copia_LTR	LTR/Copia	1	276	0	121	276
2116	2.9	0	0.7	NP_60	227186	227463	-201516	+	Copia_LTR	LTR/Copia	1	276	0	121	277
2029	5	1.1	0.7	NP_60	328522	328801	-100178	C	DM412B_LTR	LTR/Gypsy	-89	482	202	165	279
1538	8.4	1.7	5.4	NP_60	185760	186047	-242932	C	BATUMI_I	LTR/Pao	-679	7284	7007	96	287
1746	11.8	4.2	0	NP_60	348932	349220	-79759	C	R1_DM	Non-LTR_retrotransposon/R1	-4747	609	309	175	288
943	11.3	8.3	1.6	NP_60	128703	128994	-299985	C	Gypsy-1_DSim-I	LTR/Gypsy	-20	7002	6841	73	291
1078	12.9	4.1	5	NP_60	66977	67269	-361710	+	Gypsy-6_DSim-LTR	LTR/Gypsy	16	367	0	28	292
943	12.6	5.7	1.7	NP_60	70721	71013	-357966	+	Gypsy-1_DSim-I	LTR/Gypsy	6841	7002	-20	29	292
943	12.2	5.7	1.7	NP_60	102844	103136	-325843	+	Gypsy-1_DSim-I	LTR/Gypsy	6841	7002	-20	52	292
943	11.9	5.7	1.7	NP_60	134833	135125	-293854	+	Gypsy-1_DSim-I	LTR/Gypsy	6841	7002	-20	74	292
887	11.5	10.1	1.9	NP_60	92206	92501	-336478	C	Gypsy-1_DSim-I	LTR/Gypsy	-20	7002	6841	49	295
